Gene	LFC	p.value	FDR	B
ENSG00000007520	0.348360367138012	1.22468975212416e-37	3.23116286406218e-37	Inf
ENSG00000007541	0.997733802120026	1.04503617875968e-95	1.05849220793336e-94	Inf
ENSG00000007545	0.278660954873478	4.90854683506796e-15	8.01515195067392e-15	32.460134450661
ENSG00000007866	-0.15658633794179	3.25942804848813e-05	4.10734473043855e-05	10.1001076219395
ENSG00000007923	0.188246539705194	3.32806910605495e-12	5.05355352927395e-12	26.0109374385682
ENSG00000007933	-1.3128950281451	4.38343577435716e-35	1.09786899806274e-34	Inf
ENSG00000007944	-0.526889530202655	7.5501309592778e-18	1.31189190281617e-17	Inf
ENSG00000007952	0.862531464553908	4.86916529894403e-45	1.49613382104428e-44	Inf
ENSG00000007968	2.35816097274122	3.20433154109905e-127	7.16839176597646e-126	Inf
ENSG00000008018	0.146695080290344	8.32657451080332e-06	1.06928257891374e-05	11.4459268354868
ENSG00000008083	1.08012247067941	1.81187446541259e-85	1.3994168096255e-84	Inf
ENSG00000008086	-0.272783085190139	1.29860465121742e-06	1.7064007010187e-06	13.2811225525377
ENSG00000008128	-0.310024167708985	4.31165997201238e-09	6.06246031036595e-09	18.9211501211919
ENSG00000008130	-0.228522106387567	1.56842673141251e-15	2.58941582188487e-15	33.601306353748
ENSG00000008196	-3.08661047232875	7.33327236958977e-23	1.42281212168153e-22	Inf
ENSG00000008226	-1.72088300385077	4.87340573233349e-52	1.73909454067542e-51	Inf
ENSG00000008256	-0.980069846317673	2.2064396145325e-47	7.13175680677609e-47	Inf
ENSG00000008277	-0.315430701016963	0.000199653909679714	0.000244421101979547	8.31637354143796
ENSG00000008282	-0.403863024149663	2.1048496095805e-15	3.46436129736958e-15	33.302813365192
ENSG00000008283	1.44165701882112	2.94536436875701e-106	3.91471109948475e-105	Inf
ENSG00000008294	-0.10292439997271	0.00377484541490388	0.00439735312155483	5.42234543243664
ENSG00000008300	1.46861686985638	8.64987056255353e-44	2.58193909099608e-43	Inf
ENSG00000008311	-1.93376973013535	1.33287678900509e-101	1.56211001166475e-100	Inf
ENSG00000008323	-1.03209801670309	3.52126320870799e-29	7.80501740931691e-29	Inf
ENSG00000008324	0.327680270900666	1.06225586366612e-25	2.19268273968959e-25	Inf
ENSG00000008382	0.466785880690159	1.21586229781875e-31	2.82886849359084e-31	Inf
ENSG00000008394	-1.12954176424956	2.38113021959451e-12	3.62822179160027e-12	26.3422820206995
