Gene	LFC	p.value	FDR	B
ENSG00000005206	-0.129017823346615	5.52600901470377e-05	7.16569203358021e-05	9.54354916357899
ENSG00000005238	0.0531541082830189	0.217214309278743	0.23240389654794	1.19478689645204
ENSG00000005243	-0.949274080024295	8.02203301040349e-50	4.08266194769972e-49	Inf
ENSG00000005249	-2.40130576951587	5.13249040029611e-50	2.62686230742171e-49	Inf
ENSG00000005302	-0.0931361290151211	0.0111642630467918	0.0129719469646998	4.33190936156538
ENSG00000005339	-0.042343329113619	0.0888383895573242	0.0976345368604943	2.22378831568077
ENSG00000005379	-1.54542214989407	3.02459369745235e-55	1.86209992245535e-54	Inf
ENSG00000005381	-1.96398400596524	3.95035869209732e-34	1.23440180719811e-33	Inf
ENSG00000005436	-0.107242437338459	0.00173868137858372	0.00210944461639738	6.15921890849035
ENSG00000005448	0.372743483264922	8.55425507810945e-16	1.57444415056658e-15	34.0977432400618
ENSG00000005469	0.309628486760129	0.000116931615142306	0.00014966998563581	8.8069281022083
ENSG00000005471	0.594407185420285	2.01706681295643e-16	3.77733536689499e-16	35.638188281009
ENSG00000005483	-0.562176168837904	2.95602447400938e-37	1.01339408424471e-36	Inf
ENSG00000005486	0.544015604849226	6.41390085349077e-32	1.87886664548523e-31	Inf
ENSG00000005513	-3.57776040878806	2.23323632819862e-92	5.28167689776908e-91	Inf
ENSG00000005700	0.209170131317316	9.88517444205479e-07	1.36903659816574e-06	13.5014019094513
ENSG00000005801	-0.123183002251371	0.00458040783843271	0.00543238471431293	5.20992987376547
ENSG00000005810	-0.89179248799372	2.97721469230902e-33	9.07395356000857e-33	Inf
ENSG00000005812	-0.810447848694848	2.41128074233958e-45	1.06535034995797e-44	Inf
ENSG00000005844	0.612559680672278	9.736250244214e-38	3.389189178325e-37	Inf
ENSG00000005882	-1.11091952013821	2.98650597441321e-30	8.35621254081902e-30	Inf
ENSG00000005884	-0.420214222393253	3.00681033168722e-06	4.09914031655278e-06	12.4047291859896
ENSG00000005889	-0.361393662232784	1.66687796231264e-15	3.04395554207836e-15	33.4409637036728
ENSG00000005893	0.292385365621573	6.32832223732218e-08	9.1213041289585e-08	16.2100678617031
ENSG00000005961	0.114007365580765	0.340999263985202	0.359294121490996	0.578429170757012
ENSG00000006007	0.257041820228977	1.42456994977336e-07	2.02825353659449e-07	15.4109203523508
ENSG00000006015	-0.0935198186989329	0.0397814927373993	0.0447568850276811	3.06072059048125
ENSG00000006016	-0.15305604574395	0.259696155282001	0.275979599967084	0.964492619007101
ENSG00000006025	-0.767652150008544	1.05122506018462e-26	2.65864608092123e-26	Inf
ENSG00000006042	-1.11155921635824	1.34832232317484e-38	4.83179433167433e-38	Inf
ENSG00000006047	-0.0184165969921715	0.863481909999493	0.871854702848459	-1.91745803071311
ENSG00000006062	-0.631372834803637	3.7345954941542e-34	1.1679890921e-33	Inf
ENSG00000006118	2.45850696254812	9.1917438154101e-96	2.50077631549334e-94	Inf
ENSG00000006125	0.36206604386482	6.83863213084938e-07	9.52486157254753e-07	13.8641893106043
ENSG00000006194	0.138462590161605	5.53390249132949e-06	7.46692501719987e-06	11.8050198209012
ENSG00000006210	-2.99097753209414	3.45591729150428e-82	5.57026134490345e-81	Inf
ENSG00000006282	0.316599016555855	0.000203597282136558	0.000258044401194793	8.26212081249507
ENSG00000006327	0.965008957974585	1.77763131109013e-38	6.34111240634025e-38	Inf
ENSG00000006377	-1.40340833749476	1.6068109618268e-21	3.511017793098e-21	Inf
ENSG00000006432	0.84248996261878	1.72211787496813e-25	4.19487279069147e-25	Inf
ENSG00000006451	0.68601718729859	3.50796871512688e-50	1.81142844034058e-49	Inf
ENSG00000006453	1.30283149355505	8.352643970226e-77	1.09408297579232e-75	Inf
ENSG00000006459	-0.181039561246501	0.000222774886546108	0.000281856967471012	8.17382892655259
ENSG00000006468	-0.55263924284172	6.91517419614715e-17	1.31093950641826e-16	36.7368005696771
ENSG00000006530	0.508090136132899	1.48130939223022e-33	4.5569547594347e-33	Inf
ENSG00000006534	0.0308888263206143	0.602005674992291	0.61937945264703	-0.486915153849983
ENSG00000006555	-0.93953148574166	2.18015366515659e-14	3.85906128769432e-14	30.8845980899026
ENSG00000006576	1.30387997289104	3.08359072427914e-77	4.0834302052348e-76	Inf
ENSG00000006607	0.346393261948032	8.61668782333572e-21	1.84603226102666e-20	Inf
ENSG00000006625	2.04944463821523	5.47589885843244e-91	1.22690650273918e-89	Inf
ENSG00000006634	1.63308736701939	1.65273664371266e-111	8.60493171981907e-110	Inf
ENSG00000006638	0.199600287457936	0.000235277524775233	0.000297233734275702	8.12069446666093
