
ZZEF1,1,7,1136,24,35,1104
ZYX_ENST00000392910,7,2,1136,0,0,0
ZYX_ENST00000392910,1,0,315,0,0,0
ZYX,7,2,1136,45,0,1104
ZYX,1,0,315,0,0,0
ZYG11B_ENST00000545132,2,0,315,0,0,0
ZYG11B_ENST00000545132,4,0,1136,0,0,0
ZYG11B,4,0,1136,49,16,1104
ZYG11B,2,0,315,0,0,0
ZYG11A_ENST00000612017,4,0,1136,0,0,0
ZYG11A_ENST00000612017,2,0,315,0,0,0
ZYG11A_ENST00000371532,2,0,315,0,0,0
ZYG11A_ENST00000371532,4,0,1136,0,0,0
ZYG11A,4,0,1136,67,0,1104
ZYG11A,2,0,315,0,0,0
ZXDC_ENST00000336332,2,0,1136,0,0,0
ZXDC,2,0,1136,69,41,1104
ZXDB,4,6,1136,58,0,1104
ZXDB,1,0,315,0,0,0
ZXDA,1,0,315,0,0,0
ZXDA,4,6,1136,30,20,1104
ZWINT_ENST00000395405,5,0,1136,0,0,0
ZWINT_ENST00000395405,1,0,315,0,0,0
ZWINT_ENST00000361148,5,0,1136,0,0,0
ZWINT_ENST00000361148,1,0,315,0,0,0
ZWINT_ENST00000318387,5,0,1136,0,0,0
ZWINT_ENST00000318387,1,0,315,0,0,0
ZWINT,5,0,1136,74,0,1104
ZWINT,1,0,315,0,0,0
ZWILCH_ENST00000613446,4,0,1136,0,0,0
ZWILCH_ENST00000613446,2,0,315,0,0,0
ZWILCH_ENST00000565627,4,0,1136,0,0,0
ZWILCH_ENST00000565627,2,0,315,0,0,0
ZWILCH_ENST00000535141,4,0,1136,0,0,0
ZWILCH_ENST00000535141,2,0,315,0,0,0
ZWILCH_ENST00000446801,4,0,1136,0,0,0
ZWILCH_ENST00000446801,2,0,315,0,0,0
ZWILCH,2,0,315,0,0,0
ZWILCH,4,0,1136,119,0,1104
ZW10,1,6,1136,76,15,1104
ZW10,1,0,315,0,0,0
ZUP1_ENST00000368573,11,3,1136,0,0,0
ZUP1,11,3,1136,111,41,1104
ZSWIM9_ENST00000328759,4,1,1136,0,0,0
ZSWIM9,4,1,1136,0,0,0
ZSWIM8_ENST00000605216,1,0,315,0,0,0
ZSWIM8_ENST00000605216,14,0,1136,0,0,0
ZSWIM8_ENST00000604729,14,0,1136,0,0,0
ZSWIM8_ENST00000604729,1,0,315,0,0,0
ZSWIM8_ENST00000604524,14,0,1136,0,0,0
ZSWIM8_ENST00000604524,1,0,315,0,0,0
ZSWIM8_ENST00000603114,1,0,315,0,0,0
ZSWIM8_ENST00000603114,14,0,1136,0,0,0
ZSWIM8,14,0,1136,63,51,1104
ZSWIM8,1,0,315,0,0,0
ZSWIM7_ENST00000486655,3,12,1136,0,0,0
