Gene	LFC	p.value	FDR	B
ENSG00000002746	-0.269667513266162	0.021066974009019	0.0241887499449898	3.69738152960648
ENSG00000002822	1.05532986482612	8.91968033041904e-96	1.18443534956408e-94	Inf
ENSG00000002834	-0.122496873358345	0.00450026824911345	0.00534390701761162	5.22644000553544
ENSG00000002919	-0.314561358538398	1.18205284499307e-25	2.59936689128375e-25	Inf
ENSG00000002933	-0.162269101557371	0.039006481761777	0.0441526407304262	3.07494549631246
ENSG00000003056	-0.147376470561198	0.000290404823262526	0.00036285561221528	7.92114264386002
ENSG00000003096	-2.12096530143565	4.07971786549094e-52	1.69391383778301e-51	Inf
ENSG00000003137	-1.26874085421914	1.43754534692975e-31	3.63124456395483e-31	Inf
ENSG00000003147	0.305143029246542	2.00001033314883e-07	2.77920022676614e-07	15.0959321749916
ENSG00000003249	1.50398757217356	5.41040058812891e-81	4.90357784048703e-80	Inf
ENSG00000003393	-0.0244587154936122	0.516973137435546	0.536430510519901	-0.145980732819344
ENSG00000003400	-0.911832612197386	1.40284352403668e-33	3.70187003954546e-33	Inf
ENSG00000003402	-0.575221069676407	5.69871781764017e-47	2.09030009357638e-46	Inf
ENSG00000003436	-1.77706441309358	5.28902458351733e-66	3.15814116426691e-65	Inf
ENSG00000003509	0.264720497456477	3.93481602878046e-11	6.06006886577659e-11	23.5267157340565
ENSG00000003756	-0.912672102721108	2.72637212800652e-112	5.82887890410138e-111	Inf
ENSG00000003987	0.207574284785019	0.0133698703880234	0.0155184846829391	4.15008324861676
ENSG00000004059	0.68533486677297	1.56658275735886e-72	1.12306680683567e-71	Inf
ENSG00000004139	-1.2151054211514	4.98057603178743e-54	2.1661315349787e-53	Inf
ENSG00000004142	0.0313176875289572	0.324407896186328	0.343588459637123	0.647343337432323
ENSG00000004399	-0.277220543017904	4.26767252462848e-11	6.56641778691109e-11	23.4464681416376
ENSG00000004455	0.653794457825632	1.11809448294017e-56	5.20865772323014e-56	Inf
ENSG00000004478	0.736943473455956	8.30816443131525e-40	2.5749972586479e-39	Inf
ENSG00000004487	1.10982534092022	1.19536299023357e-97	1.67327697491689e-96	Inf
ENSG00000004534	-0.146130921399758	2.60054708496597e-06	3.48199061126711e-06	12.5679029309816
ENSG00000004660	-0.182547978058388	0.00152078540856184	0.00184911357556486	6.29119807776698
ENSG00000004700	0.0615104031321121	0.190032760862976	0.205509128865117	1.35221104018417
ENSG00000004766	0.19395048560051	7.09817222440039e-08	1.00008707072882e-07	16.1180084838053
ENSG00000004777	0.323407526828313	3.77428492461864e-12	5.97364680141391e-12	25.843660305576
ENSG00000004779	0.503182457592365	1.71686362308981e-54	7.58543470103843e-54	Inf
ENSG00000004838	-1.14979633214501	2.37505758465612e-35	6.53422989551658e-35	Inf
ENSG00000004846	-3.90719354873755	2.48509844885549e-99	3.63326413623579e-98	Inf
ENSG00000004864	1.51084840292937	2.32174565874909e-104	3.91666045043523e-103	Inf
ENSG00000004866	0.660313963436391	2.98711316101948e-38	8.85972866651555e-38	Inf
ENSG00000004897	0.140168035298444	1.18883153228185e-06	1.60844527932768e-06	13.3402409021074
ENSG00000004948	-1.83712291805933	7.39629880187962e-43	2.45705827079196e-42	Inf
ENSG00000004961	0.38229075032219	1.66251399310657e-20	3.24652287320893e-20	Inf
ENSG00000004975	-0.190549502865182	6.98569975999296e-10	1.04162994051858e-09	20.6824791442955
ENSG00000005001	1.02708618399815	2.37840405241706e-24	5.0714526008669e-24	Inf
ENSG00000005007	0.330200188909641	2.66657594659826e-23	5.55818263984206e-23	Inf
ENSG00000005020	-0.717414967526452	2.26508217606501e-22	4.62083148926919e-22	Inf
ENSG00000005022	0.594823384688973	1.03190396113653e-43	3.51017107720098e-43	Inf
ENSG00000005059	1.29782137692268	6.33912374762342e-62	3.36953643492844e-61	Inf
ENSG00000005075	0.565264666955116	1.85143021487563e-50	7.35995631148308e-50	Inf
ENSG00000005100	0.178191932573311	2.62684270222356e-08	3.75441110615027e-08	17.0977492632572
ENSG00000005102	-3.50195244691435	6.41419825936522e-114	1.41955818969499e-112	Inf
ENSG00000005108	-1.04905783369215	9.30452711976302e-45	3.24515001280602e-44	Inf
ENSG00000005156	0.593299984329604	3.85781146746068e-55	1.73194674876011e-54	Inf
ENSG00000005175	0.325518210334297	2.27411536609361e-22	4.63860566640909e-22	Inf
ENSG00000005189	0.395312406299456	7.90854074124955e-11	1.20785289320297e-10	22.8370067692466
ENSG00000005194	0.510330744246938	1.80825094708016e-46	6.55626858918793e-46	Inf
ENSG00000005206	0.0202098299499703	0.527909974607002	0.547073027311645	-0.188851394356962
ENSG00000005238	-0.0426815186027808	0.261648990668228	0.279759731914895	0.94565372753002
ENSG00000005243	-1.44687791241825	8.62926361778854e-98	1.21262098644535e-96	Inf
ENSG00000005249	-2.47663060414492	1.53229954560274e-67	9.51458756887774e-67	Inf
ENSG00000005302	0.523952581894216	3.34612257535342e-35	9.17094833472172e-35	Inf
ENSG00000005339	-0.0654432299358056	0.08150023070699	0.0904280827330757	2.30841919938395
ENSG00000005379	-0.86243853298663	1.37619812353763e-32	3.55253997504613e-32	Inf
ENSG00000005381	-1.13418036259882	3.32556277748955e-16	5.85787947442908e-16	35.127362657243
ENSG00000005436	0.262627467873893	1.27964998579109e-12	2.05226081931748e-12	26.9120856983043
ENSG00000005448	0.20395800114964	1.62371328863288e-07	2.26412583233837e-07	15.3009066860787
ENSG00000005469	-1.0857127375633	4.30962960815875e-58	2.07855977835687e-57	Inf
ENSG00000005471	0.043005055235294	0.479577297308678	0.499561122795668	0.00175550926817545
ENSG00000005483	-0.391670354322571	5.42857203118457e-24	1.14873028624803e-23	Inf
ENSG00000005486	0.468160356895238	3.32488062215946e-28	7.76323957495338e-28	Inf
ENSG00000005513	-0.0330306174456192	0.819688592910475	0.830010682369261	-1.58570297342257
ENSG00000005700	-0.210561667518914	2.78957559282604e-09	4.09205605863627e-09	19.3142182929329
ENSG00000005801	0.0758798004838201	0.0922836945745633	0.101970699692513	2.1755171820734
ENSG00000005810	-0.975360046425952	2.16033735096763e-54	9.51574035846181e-54	Inf
ENSG00000005812	-1.21059409648497	5.19755757438497e-96	6.93358970798599e-95	Inf
ENSG00000005844	0.564936874664929	6.27907579907092e-29	1.49062396450307e-28	Inf
ENSG00000005882	-1.58784477364433	2.84648470504716e-107	5.18891934771444e-106	Inf
ENSG00000005884	-1.29047407599074	1.20329234059425e-53	5.20049368102753e-53	Inf
ENSG00000005889	-0.452289912887763	2.14886904621714e-29	5.15201765362713e-29	Inf
ENSG00000005893	0.468821879422641	2.57860117542251e-14	4.32977649803543e-14	30.7706538305534
ENSG00000005961	0.235940259443508	0.0193681527309673	0.0222930133302601	3.78093669471174
ENSG00000006007	-0.318083087551508	8.38714959710026e-15	1.42550027323191e-14	31.8847703057575
ENSG00000006015	0.231970662593262	1.02161960500614e-09	1.51551933615445e-09	20.3075076323418
ENSG00000006016	0.478934861043343	0.000905350008599638	0.00110947726902643	6.80275621019016
ENSG00000006025	-0.768181126818441	5.73738037132189e-46	2.05959433270122e-45	Inf
ENSG00000006042	-0.88702000108298	1.07522179706891e-28	2.53961492995681e-28	Inf
ENSG00000006047	-0.379942358560588	0.0002870819948555	0.000358796718205552	7.93239571330448
ENSG00000006062	-0.174760088608996	1.5857391654498e-05	2.06588556982182e-05	10.7873458240444
ENSG00000006118	2.10475622417158	7.68095517692484e-111	1.5592446736439e-109	Inf
ENSG00000006125	-0.00579046563628023	0.91196798423394	0.917546545516616	-2.40946936340381
ENSG00000006194	0.0111029445181224	0.750173621495192	0.763358619060841	-1.17118209818157
ENSG00000006210	-1.76778948328289	9.86519273100338e-69	6.33209754272918e-68	Inf
ENSG00000006282	-0.95108526124476	3.48383286201656e-40	1.09097786336711e-39	Inf
ENSG00000006327	1.03129886454768	9.32042653496321e-55	4.1470597499864e-54	Inf
ENSG00000006377	1.98504781475839	4.93905702203527e-23	1.02388873298394e-22	Inf
ENSG00000006432	0.810697965218497	2.72657789827186e-34	7.30012735841416e-34	Inf
ENSG00000006451	0.526092684167763	3.64524536705775e-35	9.98132452568933e-35	Inf
ENSG00000006453	1.82792718029382	6.02984262807113e-137	2.49359834853433e-135	Inf
ENSG00000006459	-0.0884986745552196	0.0586066871133672	0.0656253434379449	2.65591553478177
ENSG00000006468	-1.15777486211329	1.34834915149961e-53	5.81525793170599e-53	Inf
ENSG00000006530	0.8485010051467	2.24450331056848e-68	1.42799740295245e-67	Inf
ENSG00000006534	-0.00875431469928001	0.844196398994933	0.853453843616166	-1.76195102234572
ENSG00000006555	1.26148724535789	1.35019296806612e-39	4.1606755417903e-39	Inf
ENSG00000006576	1.18569012505423	6.87782073137835e-92	8.22723779057605e-91	Inf
ENSG00000006607	0.38660068645401	1.91044634024762e-22	3.90782932853929e-22	Inf
ENSG00000006625	1.14926687647427	3.7769492567758e-66	2.26179410602287e-65	Inf
ENSG00000006634	1.99866406468246	3.1599084408198e-181	3.49133700552869e-179	Inf
ENSG00000006638	0.200055731966958	1.81772954366435e-05	2.36301575489472e-05	10.6529631690249
ENSG00000006652	0.65260268022569	2.66732550779794e-29	6.38130072725081e-29	Inf
ENSG00000006695	0.710342285197316	4.05900257484361e-52	1.68579636350893e-51	Inf
ENSG00000006704	1.16211038038966	1.56358773049137e-103	2.55721681481718e-102	Inf
ENSG00000006712	-0.113623490025477	0.00929011870158837	0.0108649949973166	4.51128467561351
ENSG00000006715	0.264502703332426	4.70015863858064e-13	7.6284027960099e-13	27.9017356346453
ENSG00000006740	-0.303765496097681	0.00307286046777291	0.00368153152971982	5.60073811177869
ENSG00000006744	-0.0282149870830693	0.276809846940428	0.295446185724929	0.869078007245666
ENSG00000006756	-0.596333803593071	8.88252570053627e-27	2.00351686129908e-26	Inf
ENSG00000006757	-1.43827105180949	6.70254411242812e-53	2.83496854129996e-52	Inf
ENSG00000006788	0.340760101573144	0.00175644947252967	0.0021290385784603	6.14995346457146
ENSG00000006831	-0.196710926381786	6.41511168725509e-05	8.1938163220376e-05	9.4094637607306
ENSG00000006837	-0.0925436770177482	0.0424065531934107	0.047922583613478	2.98905948372565
ENSG00000007001	-0.31989479415726	0.00175352913319547	0.00212567677335604	6.15153710649996
ENSG00000007047	0.889495955666176	2.47220508324626e-79	2.15040242637659e-78	Inf
ENSG00000007062	1.43642468456559	4.33943657547051e-23	9.00616647452826e-23	Inf
ENSG00000007080	0.734502986939733	4.21836566197253e-72	2.98419475031233e-71	Inf
ENSG00000007129	0.0720642971195121	0.305529235801484	0.324543531409855	0.732969035752012
ENSG00000007168	-0.231453861414441	2.45697192055086e-15	4.23460485568625e-15	33.0992144099507
ENSG00000007171	0.135080545586467	0.196078589598613	0.211825758012414	1.31395514412588
ENSG00000007202	-0.488838346316225	1.10754802430614e-31	2.80894517326214e-31	Inf
ENSG00000007216	-4.23329436645912	5.53749377033142e-81	5.01562483302735e-80	Inf
ENSG00000007237	-1.123018517803	8.03571626137021e-47	2.9348714904636e-46	Inf
ENSG00000007255	0.206351788895196	1.44426957625491e-06	1.94785294881788e-06	13.1487808960214
ENSG00000007312	-0.197396515508959	0.0124998856497308	0.0145343304060254	4.21660082521215
ENSG00000007341	0.0918435613660917	0.0616632367512596	0.0689572501535758	2.60281844482811
ENSG00000007350	-0.820323906206259	7.78516715671899e-09	1.12964921730677e-08	18.2987735741309
ENSG00000007372	0.153190234255416	0.210171939705107	0.226509951994915	1.22812392161906
ENSG00000007376	0.79882137636806	2.8506203521228e-80	2.5297289378679e-79	Inf
ENSG00000007384	-0.0805256455804841	0.0199252372940038	0.0229196443291275	3.75257452222105
